stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_direction
1089516,,MARTA - Arts Center,,33.789077758133196,-84.38680267356139,,,0,,0,
1089517,,17th St @ Commerce St,Wells Fargo Inbound,33.791421669546,-84.394099037934,,,0,,0,
1089518,,17th St @ B.B.&T.,,33.791437109524,-84.395939112066,,,0,,0,
1089519,,17th St @ Atlantic Dr,,33.791448582308,-84.397342176295,,,0,,0,
1089520,,17th St @ Mecaslin St,Park District,33.790800093389,-84.401523066033,,,0,,0,
1089521,,Village St @ IKEA,,33.788910953901,-84.402861650688,,,0,,0,
1089522,,17th St @ Mecaslin St,Art Foundry,33.790006161623,-84.400399635606,,,0,,0,
1089523,,17th St @ State St,Element,33.79092753421,-84.399016618623,,,0,,0,
1089524,,17th St @ Market St,Wells Fargo Outbound,33.790928407063,-84.394812856033,,,0,,0,
1134855,,Piedmont Center 5-8,,33.850229261049,-84.376667348623,,,0,,0,
117,,The Prominence,,33.84990389589183,-84.37474541273983,,,0,,0,
118,,Piedmont Center 1-4,,33.851944260443375,-84.37951760612631,,,0,,0,
119,,Securities Centre,,33.849007721559,-84.37627632259,,,0,,0,
120,,"Tower Place 200, The Meridian, Buckhead Grand, Buckhead Station Shopping Center",,33.848507439984,-84.369993045968,,,0,,0,
121,,"Tower Place 200, The Meridian, Buckhead Grand, Buckhead Station Shopping Center",,33.84834063602,-84.369793876443,,,0,,0,
122,,"Tower Place 100, Courtyard by Marriott, DoubleTree Hotel",,33.847008528559,-84.370956088786,,,0,,0,
123,,"Tower Place 100, Courtyard by Marriott, DoubleTree Hotel",,33.846800137634,-84.370793014131,,,0,,0,
124,,"The Grand Hyatt, Terminus, The Realm",,33.845693842665,-84.369761209574,,,0,,0,
125,,"The Grand Hyatt, Terminus, The Realm",,33.845498872177,-84.369958234918,,,0,,0,
126,,"Buckhead MARTA rail, Mandarian Oriental Hotel, Westin Hotel, W Hotel, Peachtree Lenox Building, One Capital City Plaza, Atlanta Financial Center, 3344 Peachtree, Sovereign",,33.847631414686,-84.367671688148,,,0,,0,
127,,"Buckhead MARTA rail, Mandarian Oriental Hotel, Westin Hotel, W Hotel, Peachtree Lenox Building, One Capital City Plaza, Atlanta Financial Center, 3344 Peachtree, Sovereign",,33.847429790094,-84.367418309787,,,0,,0,
130,,"One Alliance Center, Two Alliance Center, Monarch Tower, Monarch Plaza",,33.852042260445,-84.366018616246,,,0,,0,
131,,"Lenox Square Main Entrance, Lenox Towers",,33.84827780148862,-84.36360597930184,,,0,,0,
132,,"Lenox Square Main Entrance, Lenox Towers",,33.84811336018547,-84.36350267313821,,,0,,0,
133,,"Phipps Plaza, Phipps Tower",,33.852441312646,-84.363022462591,,,0,,0,
134,,"The Pinnacle, Two Live Oak, One Live Oak, Lenox Marketplace (Target, Publix, Dick’s)",,33.850873501979,-84.360073483016,,,0,,0,
135,,"The Pinnacle, Two Live Oak, One Live Oak, Lenox Marketplace (Target, Publix, Dick’s)",,33.850050104482,-84.359944815394,,,0,,0,
136,,"Atlanta Marriott Buckhead, JW Marriott, Lenox Center",,33.84823637174482,-84.360140608091,,,0,,0,
138,,Lenox Square Food Court,,33.845189225652,-84.361067934968,,,0,,0,
139,,"Lenox MARTA, Atlanta Plaza, Resurgens Plaza, Alexan Lenox",,33.847019796732,-84.356319064492,,,0,,0,
140,,AT&T Building 2180,,33.848521920673,-84.346400740213,,,0,,0,
